
SPDR S&P 500 ETF Trust,Last: 409.72,Change:  0.11
Date: 11 April, 2023 à 22:23 UTC−4,Bid: 409.9,Ask: 409.94,Size: 3*5,Volume: 59 252 940
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Apr 11 2023,SPY230411C00411000,0.01,-0.495,0,0.01,382002,0.253,0.0243,0.103,9013,411.00,SPY230411P00411000,1.04,-1.465,1.03,1.17,191658,0.2557,-0.9757,0.103,4668
Tue Apr 11 2023,SPY230411C00412000,0.01,-0.285,0,0.01,171499,0.4391,0.015,0.0393,15014,412.00,SPY230411P00412000,2.03,-1.26,2.03,2.13,23998,0,-0.985,0.0393,4669
Tue Apr 11 2023,SPY230411C00413000,0.01,-0.145,0,0.01,63361,0.615,0.0111,0.0216,8375,413.00,SPY230411P00413000,2.72,-1.45,3.03,3.17,6934,0.62,-0.9889,0.0216,2539
Tue Apr 11 2023,SPY230411C00414000,0.01,-0.075,0,0.01,27723,0.7848,0.0089,0.014,8469,414.00,SPY230411P00414000,4.25,-0.845,3.5,4.64,3343,0,-0.9911,0.014,2306
Tue Apr 11 2023,SPY230411C00415000,0.01,-0.035,0,0.01,13595,0.95,0.0075,0.01,14240,415.00,SPY230411P00415000,4.59,-1.48,4.48,5.64,1511,0,-0.9925,0.01,139
Tue Apr 11 2023,SPY230411C00416000,0.01,-0.005,0,0.01,6097,1.1119,0.0065,0.0075,7939,416.00,SPY230411P00416000,6.1,-0.97,5.5,6.63,2707,0,-0.9935,0.0075,286
Tue Apr 11 2023,SPY230411C00417000,0.01,-0.005,0,0.01,4312,1.2709,0.0058,0.0059,3528,417.00,SPY230411P00417000,7.35,-0.72,6.47,7.68,200,0,-0.9942,0.0059,54
Tue Apr 11 2023,SPY230411C00418000,0.01,0.005,0,0.01,505,1.4275,0.0052,0.0048,5202,418.00,SPY230411P00418000,7.99,-1.08,7.48,8.64,51,0,-0.9948,0.0048,19
Tue Apr 11 2023,SPY230411C00419000,0.01,0.005,0,0.01,211,1.582,0.002,0.002,4483,419.00,SPY230411P00419000,8.92,-1.145,8.48,9.68,15,0,-0.998,0.002,10
Tue Apr 11 2023,SPY230411C00420000,0.01,0.005,0,0.01,921,1.7347,0.0007,0.0008,4481,420.00,SPY230411P00420000,9.41,-1.655,9.47,10.63,57,0,-0.9993,0.0008,13
Tue Apr 11 2023,SPY230411C00421000,0.01,0.005,0,0.01,36,1.8857,0.0002,0.0003,997,421.00,SPY230411P00421000,13.38,0,10.49,11.63,0,0,-0.9998,0.0003,0
