
SPDR S&P 500 ETF Trust,Last: 427.92,Change:  6.1
Date: 4 June 4, 3:15 PM EDT,Bid: 427.96,Ask: 428.03,Size: 1*6,Volume: 91,391,793
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jun 05 2023,SPY230605C00397000,31.26,6.88,30.52,31.35,1,0.3264,0.9959,0.0009,3,397.00,SPY230605P00397000,0.02,-0.025,0.01,0.02,5,0.314,-0.0038,0.0009,666
Mon Jun 05 2023,SPY230605C00398000,29.98,6.595,29.52,30.36,16,0.3236,0.9957,0.001,42,398.00,SPY230605P00398000,0.01,-0.035,0.01,0.02,45,0.3046,-0.004,0.001,890
Mon Jun 05 2023,SPY230605C00399000,29.14,6.73,28.52,29.36,7,0.313,0.9954,0.0011,56,399.00,SPY230605P00399000,0.01,-0.035,0.01,0.02,158,0.2951,-0.0043,0.0011,1918
Mon Jun 05 2023,SPY230605C00400000,28.31,6.89,27.52,28.36,6,0.3025,0.9952,0.0012,25,400.00,SPY230605P00400000,0.01,-0.035,0.01,0.02,350,0.2856,-0.0045,0.0012,7710
Mon Jun 05 2023,SPY230605C00401000,27.27,6.875,26.52,27.36,7,0.2919,0.9949,0.0013,7,401.00,SPY230605P00401000,0.01,-0.045,0.01,0.02,41,0.2761,-0.0048,0.0013,1105
Mon Jun 05 2023,SPY230605C00402000,20.87,0,25.52,26.36,0,0.2814,0.9946,0.0014,22,402.00,SPY230605P00402000,0.01,-0.045,0.01,0.02,122,0.2666,-0.0051,0.0014,1467
Mon Jun 05 2023,SPY230605C00403000,24.66,6.23,24.53,25.36,9,0.2771,0.9942,0.0015,11,403.00,SPY230605P00403000,0.01,-0.045,0.01,0.02,189,0.2571,-0.0055,0.0015,1135
Mon Jun 05 2023,SPY230605C00404000,24.15,6.745,23.53,24.37,123,0.2719,0.9939,0.0017,72,404.00,SPY230605P00404000,0.02,-0.045,0.01,0.02,234,0.2475,-0.0058,0.0017,1782
Mon Jun 05 2023,SPY230605C00405000,23.07,6.64,22.53,23.37,21,0.2612,0.9935,0.0018,32,405.00,SPY230605P00405000,0.01,-0.055,0.01,0.02,237,0.238,-0.0062,0.0018,2729
Mon Jun 05 2023,SPY230605C00406000,22.06,6.615,21.53,22.37,77,0.2505,0.9931,0.002,73,406.00,SPY230605P00406000,0.01,-0.065,0.01,0.02,1274,0.2285,-0.0067,0.002,1874
